Children,Age,Income,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Gender_Male,Gender_Nonbinary,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
3,69,2680.5,0,1,0,1,1,71.8434,162.4937,6337.761157,True,False,True,False,False,False,False,False,False,True,False,False,False
0,45,8934.54,1,0,0,1,0,55.49451,217.484,5127.332044,True,False,False,False,False,False,False,True,True,False,False,False,True
0,19,59419.82,1,0,1,1,0,2.608423,222.6326,1328.874126,False,False,False,False,False,False,True,False,False,False,False,True,False
0,61,34567.24,1,0,0,1,0,45.72931,182.4653,4013.312414,False,False,False,False,False,True,False,True,True,False,False,True,False
0,88,57295.46,1,1,0,0,1,16.41429,140.0342,1452.568552,False,False,False,False,False,True,True,False,False,True,False,False,False
0,43,99932.29,0,0,1,0,0,56.84758,117.4858,5004.513585,True,False,False,False,False,False,True,False,False,True,False,True,False
3,20,35426.36,1,0,0,0,0,11.34544436,140.00128,1761.711017,False,False,False,False,False,False,False,False,False,False,False,False,True
0,45,25280.79,0,0,0,1,0,17.26451,127.4421,2082.052634,True,False,True,False,False,False,False,True,False,False,True,False,False
0,54,38613.42,0,0,0,0,1,55.3519,179.9794,4851.255631,True,False,False,False,False,False,False,False,True,False,True,False,False
1,89,7014.13,1,1,1,1,1,59.84973,277.6375,5552.256288,True,False,False,False,True,False,False,False,True,False,False,True,False
4,30,50577.25,0,0,0,0,1,50.09295,137.4836,4941.678785,True,False,False,False,False,True,False,False,False,False,False,True,False
0,69,30272.58,0,0,1,1,1,59.54349,252.6378,5473.581033,True,False,False,True,False,False,False,False,True,False,False,False,False
0,38,38947.81,0,1,0,1,1,46.87676,172.4567,4607.641291,True,False,False,False,False,False,True,False,False,False,False,False,False
3,74,109366.11,1,1,1,1,1,5.011675804,225.131966,1464.182884,False,False,False,False,False,False,False,False,False,False,False,True,False
2,51,18970.04,0,0,1,0,1,13.84934,169.9447,1456.422162,False,False,True,False,False,False,False,False,True,False,False,False,True
4,67,2492.8,0,1,0,0,1,15.84051,160.0122,1698.617842,True,False,False,False,False,False,True,False,False,True,False,False,False
0,43,22205.18,0,0,1,1,1,65.82541,230.1051,6010.445763,True,False,True,False,False,False,False,False,True,False,False,False,True
2,41,24620.49,0,0,0,1,1,52.24584,179.9476,4681.487886,True,False,False,False,False,False,False,False,True,False,True,False,False
2,30,28600.78,0,0,1,0,1,21.53238,204.9634,2380.995294,True,False,True,False,False,False,True,False,True,False,False,True,False
9,43,54250.43,0,0,0,1,1,3.187512279,159.947583,1201.898094,False,False,False,False,False,False,False,True,False,False,True,False,False
