Children,Age,Income,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Gender_Male,Gender_Nonbinary,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
2,88,45179.37,0,1,1,0,0,49.16112,162.4713,4293.055528,True,False,False,True,False,False,False,True,True,False,True,False,False
3,38,20626.02,0,0,0,0,1,63.74924,79.97886,5433.040814,True,False,False,False,True,False,False,False,False,True,False,False,True
6,25,138555.9,1,0,0,1,1,11.96096,142.4827,2058.120961,True,False,False,False,False,False,False,False,False,False,False,False,False
4,81,42530.46,0,1,1,1,0,2.918826,212.6415,1263.539898,True,False,True,False,False,False,False,False,False,False,False,False,False
1,68,25660.71,1,1,0,0,0,53.48518,152.5104,4999.929364,False,False,False,False,True,False,False,False,False,False,False,False,True
3,35,12182.47,0,0,1,0,0,67.86102,152.4579,6485.945142,False,False,False,False,False,True,False,False,False,False,False,False,False
1,78,24927.42,1,0,0,0,1,7.888574,147.4783,810.3780598,True,False,False,False,False,True,False,False,True,False,True,False,False
1,46,67172.04,1,0,1,0,0,12.85483,142.4526,1918.333346,True,False,False,False,True,False,True,False,False,False,False,True,False
0,34,45021.58,0,0,0,0,0,57.86469,127.4738,5381.978758,False,False,False,False,True,False,False,True,False,False,False,False,True
3,74,18326.88,0,1,1,1,1,9.428767036,232.641455,1328.568048,False,False,False,False,True,False,True,False,True,False,False,False,False
9,57,20111.05,0,0,0,1,0,59.99095,147.4421,5407.188993,True,False,True,False,False,False,False,False,True,False,False,False,True
2,55,76763.34,1,1,0,0,0,18.76373,139.9875,2143.189724,False,False,True,False,False,False,False,False,False,False,False,True,False
4,78,38792.69,0,1,0,1,1,57.76017,162.447,5431.15051,False,False,True,False,False,False,False,True,False,False,False,False,True
1,35,115520.53,1,0,0,0,1,9.941798485,149.99153,1144.495358,False,False,True,False,False,False,True,False,True,False,False,False,True
4,56,66989.79,0,0,1,1,0,13.85859,230.1344,1904.863682,True,False,False,False,True,False,False,False,False,True,True,False,False
4,38,46998.02,1,0,1,1,0,71.31402,190.1737,6619.007955,False,False,False,False,False,True,False,True,False,True,False,False,False
0,63,3998.85,0,0,1,0,0,8.509499576,139.981577,1072.213221,True,False,False,True,False,False,True,False,False,True,False,False,True
4,74,29495.88,0,1,0,0,1,71.23043,159.983,6059.960875,False,False,False,False,False,True,False,False,True,False,False,False,True
2,35,28813.13,1,0,0,1,1,71.81426,162.5119,6382.61699,False,False,False,True,False,False,False,True,False,True,True,False,False
0,24,7945.24,0,0,0,0,1,6.691537735,134.950905,805.3931837,True,False,True,False,False,False,True,False,True,False,False,True,False
2,61,19367.11,1,0,0,1,0,67.13199,152.5022,5935.756323,False,False,False,False,False,False,True,False,False,True,False,True,False
2,53,77658.11,0,0,0,1,0,15.73628072,162.460772,2089.023186,False,False,False,True,False,False,False,False,False,False,True,False,False
1,48,22946.95,0,0,1,1,1,54.74518,232.6378,5546.494271,False,False,False,False,False,True,False,False,False,False,False,True,False
4,55,14519.05,0,0,0,0,0,60.1263,137.4836,5681.82435,True,False,False,False,False,False,False,True,False,False,True,False,False
0,41,56154.5,0,0,0,0,0,2.585228303,157.483594,394.0148722,False,False,True,False,False,False,True,False,True,False,False,False,True
0,89,38411.45,0,0,1,1,0,2.367066,232.6378,1136.589804,True,False,True,False,False,False,False,False,False,False,False,False,False
1,79,6249.7,1,0,1,1,1,59.27052,245.1283,5899.700912,False,False,False,False,False,True,False,False,False,False,False,True,False
1,51,48170.55,1,0,0,1,1,18.44435,129.9598,2182.755951,False,False,False,True,False,False,False,False,False,False,False,True,False
